,CCI,/cci_items/cci_item/definition,Note,Parameter,index
5757,CCI-001312,The information system generates error messages that provide information necessary for corrective actions without revealing information that could be exploited by adversaries.,,,SI-11 
5761,CCI-001313,The organization defines sensitive or potentially harmful information that should not be contained in error logs and administrative messages.,,,SI-11 
5764,CCI-001314,The information system reveals error messages only to organization-defined personnel or roles.,,,SI-11 
5768,CCI-001678,"The organization retains information within the information system and information output from the system in accordance with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and operational requirements.",,,SI-12
5772,CCI-001315,"The organization handles information within the information system and information output from the system in accordance with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and operational requirements.",,,SI-12
5776,CCI-001679,The organization provides a mechanism to exchange active and standby roles of the components.,,,SI-13 
5779,CCI-001316,The organization protects the information system from harm by considering mean time to failure rates for an organization-defined list of information system components in specific environments of operation.,,,SI-13 
5782,CCI-001317,The organization defines a list of information system components for which mean time to failure rates should be considered to protect the information system from harm.,,,SI-13 
5785,CCI-001318,The organization provides substitute information system components.,,,SI-13 
5789,CCI-001319,The organization takes information system components out of service by transferring component responsibilities to a substitute component no later than an organization-defined fraction or percentage of mean time to failure (MTTF).,,,SI-13 (1)
5793,CCI-001320,The organization defines the maximum fraction or percentage of mean time to failure (MTTF) used to determine when information system components are taken out of service by transferring component responsibilities to substitute components.,,,SI-13 (1)
5797,CCI-001321,The organization does not allow a process to execute without supervision for more than an organization-defined time period.,,,SI-13 (2)
5801,CCI-001322,The organization defines a time period that is the longest a process is allowed to execute without supervision.,,,SI-13 (2)
5805,CCI-001323,The organization manually initiates a transfer between active and standby information system components in accordance with organization-defined frequency if the mean time to failure (MTTF) exceeds an organization-defined time period.,,,SI-13 (3)
5809,CCI-001324,The organization defines the minimum frequency at which the organization manually initiates a transfer between active and standby information system components if the mean time to failure (MTTF) exceeds the organization-defined time period.,,,SI-13 (3)
5813,CCI-001325,The organization defines a time period that the mean time to failure (MTTF) must exceed before the organization manually initiates a transfer between active and standby information system components.,,,SI-13 (3)
5817,CCI-001326,"The organization, if information system component failures are detected, ensures standby components are successfully and transparently installed within an organization-defined time period.",,,SI-13 (4) ()
5821,CCI-001327,The organization defines a time period for a standby information system component to be successfully and transparently installed for the information system component that has failed.,,,SI-13 (4) ()
5825,CCI-001328,"The organization, if an information system component failure is detected, activates an organization-defined alarm and/or automatically shuts down the information system.",,,SI-13 (4) ()
5829,CCI-001329,The organization defines the alarm to be activated when an information system component failure is detected.,,,SI-13 (4) ()
5833,CCI-001689,"The organization, if an information system component failure is detected, automatically shuts down the information system.",,,SI-13 (4) ()
5836,CCI-001667,The organization compares the time measured between flaw identification and flaw remediation with organization-defined benchmarks.,,,SI-2 (3)
5839,CCI-001225,The organization identifies information system flaws.,,,SI-2 
5843,CCI-001226,The organization reports information system flaws.,,,SI-2 
5847,CCI-001227,The organization corrects information system flaws.,,,SI-2 
5851,CCI-001228,The organization tests software updates related to flaw remediation for effectiveness before installation.,,,SI-2 
5855,CCI-001229,The organization tests software updates related to flaw remediation for potential side effects before installation.,,,SI-2 
5859,CCI-001230,The organization incorporates flaw remediation into the organizational configuration management process.,,,SI-2 
5863,CCI-001231,The organization centrally manages the flaw remediation process.,,,SI-2 (1)
5867,CCI-001232,The organization installs software updates automatically.,,,SI-2 (1)
5870,CCI-001233,The organization employs automated mechanisms on an organization-defined frequency to determine the state of information system components with regard to flaw remediation.,,,SI-2 (2)
5874,CCI-001234,The organization defines a frequency for employing automated mechanisms to determine the state of information system components with regard to flaw remediation.,,,SI-2 (2)
5878,CCI-001235,The organization measures the time between flaw identification and flaw remediation.,,,SI-2 (3)
5882,CCI-001236,The organization defines benchmarks for the time taken to apply corrective actions after flaw identification.,,,SI-2 (3)
5886,CCI-001237,The organization employs automated patch management tools to facilitate flaw remediation to organization-defined information system components.,,,SI-2 (4)
5889,CCI-001238,The organization defines information system components for which automated patch management tools are to be employed to facilitate flaw remediation.,,,SI-2 (4)
5892,CCI-001668,"The organization employs malicious code protection mechanisms at workstations, servers, or mobile computing devices on the network to detect and eradicate malicious code transported by electronic mail, electronic mail attachments, web accesses, removable media, or other common means or inserted through the exploitation of information system vulnerabilities.",,,SI-3 
5895,CCI-001669,The organization defines the frequency of testing malicious code protection mechanisms.,,,SI-3 (6)
5899,CCI-001239,"The organization employs malicious code protection mechanisms at information system entry and exit points to detect and eradicate malicious code transported by electronic mail, electronic mail attachments, web accesses, removable media, or other common means or inserted through the exploitation of information system vulnerabilities.",,,SI-3 
5902,CCI-001240,The organization updates malicious code protection mechanisms whenever new releases are available in accordance with organizational configuration management policy and procedures.,,,SI-3 
5906,CCI-001241,The organization configures malicious code protection mechanisms to perform periodic scans of the information system on an organization-defined frequency.,,,SI-3 
5910,CCI-001242,"The organization configures malicious code protection mechanisms to perform real-time scans of files from external sources at endpoints as the files are downloaded, opened, or executed in accordance with organizational security policy.",,,SI-3 
5914,CCI-001243,The organization configures malicious code protection mechanisms to perform organization-defined action(s) in response to malicious code detection.,,,SI-3 
5918,CCI-001244,"The organization defines one or more actions to perform in response to malicious code detection, such as blocking malicious code, quarantining malicious code, or sending alerts to administrators.",,,SI-3 
5922,CCI-001245,"The organization addresses the receipt of false positives during malicious code detection and eradication, and the resulting potential impact on the availability of the information system.",,,SI-3 
5926,CCI-001246,The organization centrally manages malicious code protection mechanisms.,,,SI-3 (1)
5930,CCI-001247,The information system automatically updates malicious code protection mechanisms.,,,SI-3 (2)
5934,CCI-001248,The information system prevents non-privileged users from circumventing malicious code protection capabilities.,,,SI-3 (3)
5937,CCI-001249,The information system updates malicious code protection mechanisms only when directed by a privileged user.,,,SI-3 (4)
5941,CCI-001250,The organization does not allow users to introduce removable media into the information system.,,,SI-3 (5)
5944,CCI-001251,"The organization tests malicious code protection mechanisms on an organization-defined frequency by introducing a known benign, non-spreading test case into the information system.",,,SI-3 (6)
5948,CCI-001670,The information system takes organization-defined least-disruptive actions to terminate suspicious events.,,,SI-4 (7)
5952,CCI-001671,"The organization analyzes outbound communications traffic at selected organization-defined interior points within the system (e.g., subnetworks, subsystems) to discover anomalies.",,,SI-4 (11)
5956,CCI-001672,The organization employs a wireless intrusion detection system to identify rogue wireless devices.,,,SI-4 (14)
5959,CCI-001673,The organization employs a wireless intrusion detection system to identify rogue wireless devices and to detect attack attempts and potential compromises/breaches to the information system.,,,SI-4 (14)
5963,CCI-001252,The organization monitors events on the information system in accordance with organization-defined monitoring objectives and detects information system attacks.,,,SI-4 
5966,CCI-001253,The organization defines the objectives of monitoring for attacks and indicators of potential attacks on the information system.,,,SI-4 
5970,CCI-001254,The organization identifies unauthorized use of the information system.,,,SI-4 
5973,CCI-001255,The organization deploys monitoring devices strategically within the information system to collect organization-determined essential information.,,,SI-4 
5977,CCI-001256,The organization deploys monitoring devices at ad hoc locations within the system to track specific types of transactions of interest to the organization.,,,SI-4 
5981,CCI-001257,"The organization heightens the level of information system monitoring activity whenever there is an indication of increased risk to organizational operations and assets, individuals, other organizations, or the Nation based on law enforcement information, intelligence information, or other credible sources of information.",,,SI-4 
5985,CCI-001258,"The organization obtains legal opinion with regard to information system monitoring activities in accordance with applicable federal laws, Executive Orders, directives, policies, or regulations.",,,SI-4 
5989,CCI-001259,The organization interconnects and configures individual intrusion detection tools into a systemwide intrusion detection system using common protocols.,,,SI-4 (1)
5992,CCI-001260,The organization employs automated tools to support near real-time analysis of events.,,,SI-4 (2)
5996,CCI-001261,The organization employs automated tools to integrate intrusion detection tools into access control and flow control mechanisms for rapid response to attacks by enabling reconfiguration of these mechanisms in support of attack isolation and elimination.,,,SI-4 (3)
5999,CCI-001262,The information system monitors inbound and outbound communications for unusual or unauthorized activities or conditions.,,,SI-4 (4)
6002,CCI-001263,The information system provides near real-time alerts when any of the organization-defined list of compromise or potential compromise indicators occurs.,,,SI-4 (5)
6005,CCI-001264,The organization defines indicators of compromise or potential compromise to the security of the information system which will result in information system alerts being provided to organization-defined personnel or roles.,,,SI-4 (5)
6009,CCI-001265,The information system prevents non-privileged users from circumventing intrusion detection and prevention capabilities.,,,SI-4 (6)
6012,CCI-001266,The information system notifies an organization-defined list of incident response personnel (identified by name and/or by role) of detected suspicious events.,,,SI-4 (7)
6016,CCI-001267,The organization defines a list of incident response personnel (identified by name and/or by role) to be notified of detected suspicious events.,,,SI-4 (7)
6020,CCI-001268,The organization defines a list of least-disruptive actions to be taken by the information system to terminate suspicious events.,,,SI-4 (7)
6024,CCI-001269,"The organization protects information obtained from intrusion monitoring tools from unauthorized access, modification, and deletion.",,,SI-4 (8)
6027,CCI-001270,The organization tests intrusion monitoring tools at an organization-defined frequency.,,,SI-4 (9)
6031,CCI-001271,The organization defines the frequency for testing intrusion monitoring tools.,,,SI-4 (9)
6035,CCI-001272,The organization makes provisions so encrypted traffic is visible to information system monitoring tools.,,,SI-4 (10)
6038,CCI-001273,The organization analyzes outbound communications traffic at the external boundary of the information system to discover anomalies.,,,SI-4 (11)
6042,CCI-001274,The organization employs automated mechanisms to alert security personnel of organization-defined inappropriate or unusual activities with security implications.,,,SI-4 (12)
6046,CCI-001275,The organization defines the activities which will trigger alerts to security personnel of inappropriate or unusual activities.,,,SI-4 (12)
6050,CCI-001276,The organization analyzes communications traffic/event patterns for the information system.,,,SI-4 (13) ()
6054,CCI-001277,The organization develops profiles representing common traffic patterns and/or events.,,,SI-4 (13) ()
6058,CCI-001278,The organization uses the traffic/event profiles in tuning system monitoring devices to reduce the number of false positives to an organization-defined measure of false positives and the number of false negatives to an organization-defined measure of false negatives.,,,SI-4 (13) ()
6061,CCI-001279,The organization defines the respective measurements to which the organization must tune system monitoring devices to reduce the number of false positives.,,,SI-4 (13) ()
6064,CCI-001280,The organization defines the respective measurements to which the organization must tune system monitoring devices to reduce the number of false negatives.,,,SI-4 (13) ()
6067,CCI-001281,The organization employs a wireless intrusion detection system.,,,SI-4 (14)
6070,CCI-001282,The organization employs an intrusion detection system to monitor wireless communications traffic as the traffic passes from wireless to wireline networks.,,,SI-4 (15)
6074,CCI-001283,The organization correlates information from monitoring tools employed throughout the information system.,,,SI-4 (16)
6078,CCI-001284,"The organization correlates information from monitoring physical, cyber, and supply chain activities to achieve integrated, organization-wide situational awareness.",,,SI-4 (17)
6082,CCI-001285,"The organization receives information system security alerts, advisories, and directives from organization-defined external organizations on an ongoing basis.",,,SI-5 
6086,CCI-001286,"The organization generates internal security alerts, advisories, and directives as deemed necessary.",,,SI-5 
6090,CCI-001287,"The organization disseminates security alerts, advisories, and directives to organization-defined personnel or roles, organization-defined elements within the organization, and/or organization-defined external organizations.",,,SI-5 
6094,CCI-001288,"The organization defines the personnel or roles to whom the organization will disseminate security alerts, advisories, and directives.",,,SI-5 
6098,CCI-001289,"The organization implements security directives in accordance with established time frames, or notifies the issuing organization of the degree of noncompliance.",,,SI-5 
6102,CCI-001290,The organization employs automated mechanisms to make security alert and advisory information available throughout the organization.,,,SI-5 (1)
6106,CCI-001674,The information system responds to security function anomalies in accordance with organization-defined responses and alternative action(s).,,,SI-6
6109,CCI-001675,The organization defines the personnel or roles that are to receive reports on the results of security function verification.,,,SI-6 (3)
6113,CCI-001676,"The organization defines, for periodic security function verification, the frequency of the verifications.",,,SI-6
6116,CCI-001291,The information system verifies the correct operation of security functions in accordance with organization-defined conditions and in accordance with organization-defined frequency (if periodic verification).,,,SI-6
6119,CCI-001292,"The organization defines the appropriate conditions, including the system transitional states if applicable, for verifying the correct operation of security functions.",,,SI-6
6122,CCI-001293,The organization defines the information system responses and alternative action(s) to anomalies discovered during security function verification.,,,SI-6
6125,CCI-001294,The information system notifies organization-defined personnel or roles of failed security verification tests.,,,SI-6 (1)
6129,CCI-001295,The information system implements automated mechanisms to support the management of distributed security testing.,,,SI-6 (2)
6133,CCI-001296,The organization reports the results of security function verification to organization-defined personnel or roles.,,,SI-6 (3)
6137,CCI-001297,The information system detects unauthorized changes to software and information.,,,SI-7
6140,CCI-001298,"The organization reassesses the integrity of software and information by performing, on an organization-defined frequency, integrity scans of the information system.",,,SI-7 (1)
6143,CCI-001299,The organization defines the frequency of integrity scans to be performed on the information system.,,,SI-7 (1)
6146,CCI-001300,The organization employs automated tools that provide notification to organization-defined personnel or roles upon discovering discrepancies during integrity verification.,,,SI-7 (2)
6150,CCI-001301,The organization employs centrally managed integrity verification tools.,,,SI-7 (3)
6154,CCI-001302,The organization requires use of tamper-evident packaging for organization-defined information system components during organization-defined conditions.,,,SI-7 (4)
6157,CCI-001303,The organization defines information system components that require tamper-evident packaging.,,,SI-7 (4)
6160,CCI-001304,"The organization defines conditions (i.e., transportation from vendor to operational site, during operation, both) under which tamper-evident packaging must be used for organization-defined information system components.",,,SI-7 (4)
6163,CCI-001677,"The organization employs spam protection mechanisms at workstations, servers, or mobile computing devices on the network to detect and take action on unsolicited messages transported by electronic mail, electronic mail attachments, web accesses, removable media, or other common means.",,,SI-8 
6166,CCI-001305,"The organization employs spam protection mechanisms at information system entry and exit points to detect and take action on unsolicited messages transported by electronic mail, electronic mail attachments, web accesses, removable media, or other common means.",,,SI-8 
6169,CCI-001306,The organization updates spam protection mechanisms when new releases are available in accordance with organizational configuration management policy and procedures.,,,SI-8 
6173,CCI-001307,The organization centrally manages spam protection mechanisms.,,,SI-8 (1)
6177,CCI-001308,The information system automatically updates spam protection mechanisms.,,,SI-8 (2)
6181,CCI-001309,The organization restricts the capability to input information to the information system to authorized personnel.,,,SI-9
6184,CCI-002106,The organization documents the access control policy.,,,AC-1  1
6186,CCI-002107,The organization defines the personnel or roles to be recipients of the access control policy necessary to facilitate the implementation of the access control policy and associated access controls.,,,AC-1  1
6188,CCI-002108,The organization defines the personnel or roles to be recipients of the procedures necessary to facilitate the implementation of the access control policy and associated access controls.,,,AC-1  1
6190,CCI-002109,The organization documents procedures to facilitate the implementation of the access control policy and associated access controls.,,,AC-1  2
6192,CCI-002252,The organization defines the accounts and/or account types for which the information system will limit the number of concurrent sessions.,,,AC-10
6194,CCI-002253,The organization defines the account types for which the information system will limit the number of concurrent sessions.,,,AC-10
6196,CCI-002254,The organization defines the conditions or trigger events requiring session disconnect to be employed by the information system when automatically terminating a user session.,,,AC-12
6200,CCI-002361,The information system automatically terminates a user session after organization-defined conditions or trigger events requiring session disconnect.,,,AC-12
6202,CCI-002362,The organization defines the resources requiring information system authentication in order to gain access.,,,AC-12 (1)
6204,CCI-002363,The information system provides a logout capability for user-initiated communications sessions whenever authentication is used to gain access to organization-defined information resources.,,,AC-12 (1)
6206,CCI-002364,The information system displays an explicit logout message to users indicating the reliable termination of authenticated communications sessions.,,,AC-12 (1)
6208,CCI-002255,The organization defines the user actions that can be performed on the information system without identification and authentication.,,,AC-14 
6210,CCI-002256,The organization defines security attributes having organization-defined types of security attribute values which are associated with information in storage.,,,AC-16 
6212,CCI-002257,The organization defines security attributes having organization-defined types of security attribute values which are associated with information in process.,,,AC-16 
6214,CCI-002258,"The organization defines security attributes, having organization-defined types of security attribute values, which are associated with information in transmission.",,,AC-16 
6216,CCI-002259,The organization defines security attribute values associated with organization-defined types of security attributes for information in storage.,,,AC-16 
6218,CCI-002260,The organization defines security attribute values associated with organization-defined types of security attributes for information in process.,,,AC-16 
6220,CCI-002261,The organization defines security attribute values associated with organization-defined types of security attributes for information in transmission.,,,AC-16 
6222,CCI-002262,The organization provides the means to associate organization-defined types of security attributes having organization-defined security attribute values with information in storage.,,,AC-16 
6224,CCI-002263,The organization provides the means to associate organization-defined types of security attributes having organization-defined security attribute values with information in process.,,,AC-16 
6226,CCI-002264,The organization provides the means to associate organization-defined types of security attributes having organization-defined security attribute values with information in transmission.,,,AC-16 
6228,CCI-002265,The organization ensures that the security attribute associations are made with the information.,,,AC-16 
6230,CCI-002266,The organization ensures that the security attribute associations are retained with the information.,,,AC-16 
6232,CCI-002267,The organization defines the security attributes that are permitted for organization-defined information systems.,,,AC-16 
6234,CCI-002268,The organization defines the information systems for which permitted organization-defined attributes are to be established.,,,AC-16 
6236,CCI-002269,The organization establishes the permitted organization-defined security attributes for organization-defined information systems.,,,AC-16 
6238,CCI-002270,The organization defines the values or ranges permitted for each of the established security attributes.,,,AC-16 
6240,CCI-002271,The organization determines the permitted organization-defined values or ranges for each of the established security attributes.,,,AC-16 
6242,CCI-002272,The information system dynamically associates security attributes with organization-defined objects in accordance with organization-defined security policies as information is created and combined.,,,AC-16 (1)
6244,CCI-002273,The organization defines the security policies the information system is to adhere to when dynamically associating security attributes with organization-defined subjects and objects.,,,AC-16 (1)
6246,CCI-002274,The organization defines the subjects with which the information system is to dynamically associate security attributes as information is created and combined.,,,AC-16 (1)
6248,CCI-002275,The organization defines the objects with which the information system is to dynamically associate security attributes as information is created and combined.,,,AC-16 (1)
6250,CCI-002276,The organization identifies the individuals authorized to define the value of associated security attributes.,,,AC-16 (2)
6252,CCI-002277,The information system provides authorized individuals (or processes acting on behalf of individuals) the capability to define the value of associated security attributes.,,,AC-16 (2)
6254,CCI-002278,The organization defines security attributes for which the association and integrity to organization-defined subjects and objects is maintained by the information system.,,,AC-16 (3)
6256,CCI-002279,The organization defines subjects for which the association and integrity of organization-defined security attributes is maintained by the information system.,,,AC-16 (3)
6258,CCI-002280,The organization defines objects for which the association and integrity of organization-defined security attributes is maintained by the information system.,,,AC-16 (3)
6260,CCI-002281,The information system maintains the association of organization-defined security attributes to organization-defined subjects.,,,AC-16 (3)
6262,CCI-002282,The information system maintains the association of organization-defined security attributes to organization-defined objects.,,,AC-16 (3)
6264,CCI-002283,The information system maintains the integrity of organization-defined security attributes associated with organization-defined subjects.,,,AC-16 (3)
6266,CCI-002284,The information system maintains the integrity of organization-defined security attributes associated with organization-defined objects.,,,AC-16 (3)
6268,CCI-002285,The organization identifies individuals (or processes acting on behalf of individuals) authorized to associate organization-defined security attributes with organization-defined subjects.,,,AC-16 (4)
6270,CCI-002286,The organization defines the subjects with which organization-defined security attributes may be associated by authorized individuals (or processes acting on behalf of individuals).,,,AC-16 (4)
6272,CCI-002287,The organization defines the objects with which organization-defined security attributes may be associated by authorized individuals (or processes acting on behalf of individuals).,,,AC-16 (4)
6274,CCI-002288,The organization defines the security attributes authorized individuals (or processes acting on behalf of individuals) are permitted to associate with organization-defined subjects and objects.,,,AC-16 (4)
6276,CCI-002289,The information system supports the association of organization-defined security attributes with organization-defined subjects by authorized individuals (or processes acting on behalf of individuals).,,,AC-16 (4)
6278,CCI-002290,The information system supports the association of organization-defined security attributes with organization-defined objects by authorized individuals (or processes acting on behalf of individuals).,,,AC-16 (4)
6280,CCI-002291,The organization defines the security policies to be followed by personnel when associating organization-defined security attributes with organization-defined subjects and objects.,,,AC-16 (6)
6282,CCI-002292,The organization defines the security attributes which are to be associated with organization-defined subjects and objects.,,,AC-16 (6)
6284,CCI-002293,"The organization defines the subjects to be associated, and that association maintained, with organization-defined security attributes in accordance with organization-defined security policies.",,,AC-16 (6)
6286,CCI-002294,"The organization defines the objects to be associated, and that association maintained, with organization-defined security attributes in accordance with organization-defined security policies.",,,AC-16 (6)
6288,CCI-002295,The organization allows personnel to associate organization-defined security attributes with organization-defined subjects in accordance with organization-defined security policies.,,,AC-16 (6)
6290,CCI-002296,The organization allows personnel to associate organization-defined security attributes with organization-defined objects in accordance with organization-defined security policies.,,,AC-16 (6)
6292,CCI-002297,The organization allows personnel to maintain the association of organization-defined security attributes with organization-defined subjects in accordance with organization-defined security policies.,,,AC-16 (6)
6294,CCI-002298,The organization allows personnel to maintain the association of organization-defined security attributes with organization-defined objects in accordance with organization-defined security policies.,,,AC-16 (6)
6296,CCI-002299,The organization provides a consistent interpretation of security attributes transmitted between distributed information system components.,,,AC-16 (7)
6298,CCI-002300,The organization defines the techniques or technologies to be implemented when associating security attributes with information.,,,AC-16 (8)
6300,CCI-002301,The organization defines the level of assurance to be provided when implementing organization-defined techniques or technologies in associating security attributes to information.,,,AC-16 (8)
6302,CCI-002302,The information system implements organization-defined techniques or technologies with an organization-defined level of assurance in associating security attributes to information.,,,AC-16 (8)
6304,CCI-002303,The organization defines the techniques or procedures to be employed to validate re-grading mechanisms.,,,AC-16 (9)
6306,CCI-002304,The organization ensures security attributes associated with information are reassigned only via re-grading mechanisms validated using organization-defined techniques or procedures.,,,AC-16 (9)
6308,CCI-002305,The organization identifies individuals authorized to define or change the type and value of security attributes available for association with subjects and objects.,,,AC-16 (10)
6310,CCI-002306,The information system provides authorized individuals the capability to define or change the type of security attributes available for association with subjects.,,,AC-16 (10)
6312,CCI-002307,The information system provides authorized individuals the capability to define or change the value of security attributes available for association with subjects.,,,AC-16 (10)
6314,CCI-002308,The information system provides authorized individuals the capability to define or change the type of security attributes available for association with objects.,,,AC-16 (10)
6316,CCI-002309,The information system provides authorized individuals the capability to define or change the value of security attributes available for association with objects.,,,AC-16 (10)
6318,CCI-002310,The organization establishes and documents usage restrictions for each type of remote access allowed.,,,AC-17 
6320,CCI-002311,The organization establishes and documents configuration/connection requirements for each type of remote access allowed.,,,AC-17 
6322,CCI-002312,The organization establishes and documents implementation guidance for each type of remote access allowed.,,,AC-17 
6324,CCI-002313,The information system controls remote access methods.,,,AC-17 (1)
6328,CCI-002315,The organization defines the number of managed network access control points through which the information system routes all remote access.,,,AC-17 (3)
6330,CCI-002316,The organization authorizes access to security-relevant information via remote access only for organization-defined needs.,,,AC-17 (4) ()
6332,CCI-002317,The organization defines the operational needs for when the execution of privileged commands via remote access is to be authorized.,,,AC-17 (4) ()
6334,CCI-002318,The organization defines the operational needs for when access to security-relevant information via remote access is to be authorized.,,,AC-17 (4) ()
6336,CCI-002319,The organization documents in the security plan for the information system the rationale for authorization of the execution of privilege commands via remote access.,,,AC-17 (4) ()
6338,CCI-002320,The organization documents in the security plan for the information system the rationale for authorization of access to security-relevant information via remote access.,,,AC-17 (4) ()
6340,CCI-002321,The organization defines the time period within which it disconnects or disables remote access to the information system.,,,AC-17 (9)
6342,CCI-002322,The organization provides the capability to expeditiously disconnect or disable remote access to the information system within the organization-defined time period.,,,AC-17 (9)
6344,CCI-002323,The organization establishes configuration/connection requirements for wireless access.,,,AC-18 
6346,CCI-002324,The organization identifies and explicitly authorizes users allowed to independently configure wireless networking capabilities.,,,AC-18 (4)
6348,CCI-002325,The organization establishes configuration requirements for organization-controlled mobile devices.,,,AC-19 
6350,CCI-002326,The organization establishes connection requirements for organization-controlled mobile devices.,,,AC-19 
6352,CCI-002327,The organization defines the security policies which restrict the connection of classified mobile devices to classified information systems.,,,AC-19 (4) ()
6354,CCI-002328,The organization restricts the connection of classified mobile devices to classified information systems in accordance with organization-defined security policies.,,,AC-19 (4) ()
6356,CCI-002329,The organization defines the mobile devices that are to employ full-device or container encryption to protect the confidentiality and integrity of the information on the device.,,,AC-19 (5)
6358,CCI-002330,The organization employs full-device encryption or container encryption to protect the confidentiality of information on organization-defined mobile devices.,,,AC-19 (5)
6360,CCI-002331,The organization employs full-device encryption or container encryption to protect the integrity of information on organization-defined mobile devices.,,,AC-19 (5)
6362,CCI-002110,The organization defines the information system account types that support the organizational missions/business functions.,,,AC-2 
6364,CCI-002111,The organization identifies and selects the organization-defined information system account types of information system accounts which support organizational missions/business functions.,,,AC-2 
6366,CCI-002112,The organization assigns account managers for information system accounts.,,,AC-2 
6368,CCI-002113,The organization establishes conditions for role membership.,,,AC-2 
6370,CCI-002114,The organization specifies authorized users of the information system for each account.,,,AC-2 
6372,CCI-002115,The organization specifies authorized users of the information system.,,,AC-2 
6374,CCI-002116,The organization specifies authorized group membership on the information system.,,,AC-2 
6376,CCI-002117,The organization specifies authorized role membership on the information system.,,,AC-2 
6378,CCI-002118,"The organization specifies access authorizations (i.e., privileges) for each account on the information system.",,,AC-2 
6380,CCI-002119,The organization specifies other attributes for each account on the information system.,,,AC-2 
6382,CCI-002120,The organization defines the personnel or roles authorized to approve the creation of information system accounts.,,,AC-2 
6384,CCI-002121,"The organization defines the procedures or conditions to be employed when creating, enabling, modifying, disabling, and removing information system accounts.",,,AC-2 
6386,CCI-002122,The organization monitors the use of information system accounts.,,,AC-2 
6388,CCI-002123,The organization notifies account managers when accounts are no longer required.,,,AC-2  1
6390,CCI-002124,The organization notifies account managers when users are terminated or transferred.,,,AC-2  2
6392,CCI-002125,The organization notifies account managers when individual information system usage or need-to-know changes.,,,AC-2  3
6394,CCI-002126,The organization authorizes access to the information system based on a valid access authorization.,,,AC-2  1
6396,CCI-002127,The organization authorizes access to the information system based on intended system usage.,,,AC-2  2
6398,CCI-002128,The organization authorizes access to the information system based on other attributes as required by the organization or associated missions/business functions.,,,AC-2  3
6400,CCI-002129,The organization establishes a process for reissuing shared/group account credentials (if deployed) when individuals are removed from the group.,,,AC-2 
6402,CCI-002130,The information system automatically audits account enabling actions.,,,AC-2 (4)
6404,CCI-002131,"The organization defines the personnel or roles to be notified on account creation, modification, enabling, disabling, and removal actions.",,,AC-2 (4)
6406,CCI-002132,The information system notifies organization-defined personnel or roles for account enabling actions.,,,AC-2 (4)
6408,CCI-002133,The organization defines other conditions when users are required to log out.,,,AC-2 (5)
6410,CCI-002134,The organization defines a list of dynamic privilege management capabilities to be implemented by the information system.,,,AC-2 (6)
6412,CCI-002135,The information system implements the organization-defined list of dynamic privilege management capabilities.,,,AC-2 (6)
6414,CCI-002136,The organization defines the actions to be taken when privileged role assignments are no longer appropriate.,,,AC-2 (7) ()
6416,CCI-002137,The organization takes organization-defined actions when privileged role assignments are no longer appropriate.,,,AC-2 (7) ()
6418,CCI-002138,The organization defines the information system accounts that can be dynamically created.,,,AC-2 (8)
6420,CCI-002139,The information system creates organization-defined information system accounts dynamically.,,,AC-2 (8)
6422,CCI-002140,The organization defines the conditions for establishing shared/group accounts.,,,AC-2 (9)
6424,CCI-002141,The organization only permits the use of shared/group accounts that meet organization-defined conditions for establishing shared/group accounts.,,,AC-2 (9)
6426,CCI-002142,The information system terminates shared/group account credentials when members leave the group.,,,AC-2 (10)
6428,CCI-002143,The organization defines the circumstances and/or usage conditions that are to be enforced for organization-defined information system accounts.,,,AC-2 (11)
6430,CCI-002144,The organization defines the information system accounts that are to be subject to the enforcement of organization-defined circumstances and/or usage conditions.,,,AC-2 (11)
6432,CCI-002145,The information system enforces organization-defined circumstances and/or usage conditions for organization-defined information system accounts.,,,AC-2 (11)
6434,CCI-002146,The organization defines atypical usage for which the information system accounts are to be monitored.,,,AC-2 (12) ()
6436,CCI-002147,The organization monitors information system accounts for organization-defined atypical use.,,,AC-2 (12) ()
6438,CCI-002148,The organization defines the personnel or roles to whom atypical usage of information system accounts are to be reported.,,,AC-2 (12) ()
6440,CCI-002149,The organization reports atypical usage of information system accounts to organization-defined personnel or roles.,,,AC-2 (12) ()
6442,CCI-002150,The organization defines the time period within which the accounts of users posing a significant risk are to be disabled after discovery of the risk.,,,AC-2 (13)
6444,CCI-002151,The organization disables accounts of users posing a significant risk within an organization-defined time period of discovery of the risk.,,,AC-2 (13)
6446,CCI-002332,"The organization establishes terms and conditions, consistent with any trust relationships established with other organizations owning, operating, and/or maintaining external information systems, allowing authorized individuals to process, store, or transmit organization-controlled information using the external information systems.",,,AC-20 
6448,CCI-002333,The organization permits authorized individuals to use an external information system to access the information system only when the organization verifies the implementation of required security controls on the external system as specified in the organization's information security policy and security plan.,,,AC-20 (1) ()
6450,CCI-002334,The organization permits authorized individuals to use an external information system to process organization-controlled information only when the organization verifies the implementation of required security controls on the external system as specified in the organization's information security policy and security plan.,,,AC-20 (1) ()
6452,CCI-002335,The organization permits authorized individuals to use an external information system to store organization-controlled information only when the organization verifies the implementation of required security controls on the external system as specified in the organization's information security policy and security plan.,,,AC-20 (1) ()
6454,CCI-002336,The organization permits authorized individuals to use an external information system to transmit organization-controlled information only when the organization verifies the implementation of required security controls on the external system as specified in the organization's information security policy and security plan.,,,AC-20 (1) ()
