,FAMILY,NAME,TITLE,PRIORITY,BASELINE-IMPACT,DESCRIPTION,SUPPLEMENTAL GUIDANCE,RELATED,ccis
630,IDENTIFICATION AND AUTHENTICATION,IA-4,IDENTIFIER MANAGEMENT,P1,"LOW,MODERATE,HIGH",The organization manages information system identifiers by:,"Common device identifiers include, for example, media access control (MAC), Internet protocol (IP) addresses, or device-unique token identifiers. Management of individual identifiers is not applicable to shared information system accounts (e.g., guest and anonymous accounts). Typically, individual identifiers are the user names of the information system accounts assigned to those individuals. In such instances, the account management activities of AC-2 use account names provided by IA-4. This control also addresses individual identifiers not necessarily associated with information system accounts (e.g., identifiers used in physical security control databases accessed by badge reader systems for access to information systems). Preventing reuse of identifiers implies preventing the assignment of previously used individual, group, role, or device identifiers to different individuals, groups, roles, or devices.","AC-2,IA-2,IA-3,IA-5,IA-8,SC-37","CCI-000784 The organization manages information system identifiers for users and devices by receiving authorization from a designated organizational official to assign a user identifier. CCI-000785 The organization manages information system identifiers for users and devices by receiving authorization from a designated organizational official to assign a device identifier. CCI-000786 The organization manages information system identifiers for users and devices by selecting an identifier that uniquely identifies an individual. CCI-000787 The organization manages information system identifiers for users and devices by selecting an identifier that uniquely identifies a device. CCI-000788 The organization manages information system identifiers for users and devices by assigning the user identifier to the intended party. CCI-000789 The organization manages information system identifiers for users and devices by assigning the device identifier to the intended device. CCI-000790 The organization defines a time period for which the reuse of user identifiers is prohibited. CCI-000791 The organization defines a time period for which the reuse of device identifiers is prohibited. CCI-000792 The organization manages information system identifiers for users and devices by preventing reuse of user identifiers for an organization-defined time period. CCI-000793 The organization manages information system identifiers for users and devices by preventing reuse of device identifiers for an organization-defined time period. CCI-000794 The organization defines a time period of inactivity after which the identifier is disabled. CCI-000795 The organization manages information system identifiers by disabling the identifier after an organization-defined time period of inactivity. CCI-001970 The organization defines the personnel or roles that authorize the assignment of individual, group, role, and device identifiers. CCI-001971 The organization manages information system identifiers by receiving authorization from organization-defined personnel or roles to assign an individual, group, role, or device identifier. CCI-001972 The organization manages information system identifiers by selecting an identifier that identifies an individual, group, role, or device. CCI-001973 The organization manages information system identifiers by assigning the identifier to the intended individual, group, role, or device. CCI-001974 The organization defines the time period for which the reuse of identifiers is prohibited. CCI-001975 The organization manages information system identifiers by preventing reuse of identifiers for an organization-defined time period."
636,IDENTIFICATION AND AUTHENTICATION,IA-4 (1),PROHIBIT ACCOUNT IDENTIFIERS AS PUBLIC IDENTIFIERS,,,The organization prohibits the use of information system account identifiers that are the same as public identifiers for individual electronic mail accounts.,"Prohibiting the use of information systems account identifiers that are the same as some public identifier such as the individual identifier section of an electronic mail address, makes it more difficult for adversaries to guess user identifiers on organizational information systems.",AT-2,CCI-000796 The organization prohibits the use of information system account identifiers that are the same as public identifiers for individual electronic mail accounts.
637,IDENTIFICATION AND AUTHENTICATION,IA-4 (2),SUPERVISOR AUTHORIZATION,,,The organization requires that the registration process to receive an individual identifier includes supervisor authorization.,,,CCI-000797 The organization requires that registration to receive a user ID and password include authorization by a supervisor. CCI-000798 The organization requires that registration to receive a user ID and password be done in person before a designated registration authority. CCI-002040 The organization requires that the registration process to receive an individual identifier includes supervisor authorization.
638,IDENTIFICATION AND AUTHENTICATION,IA-4 (3),MULTIPLE FORMS OF CERTIFICATION,,,The organization requires multiple forms of certification of individual identification be presented to the registration authority.,"Requiring multiple forms of identification, such as documentary evidence or a combination of documents and biometrics, reduces the likelihood of individuals using fraudulent identification to establish an identity, or at least increases the work factor of potential adversaries.",,"CCI-000799 The organization requires multiple forms of certification of individual identification, such as documentary evidence or a combination of documents and biometrics, be presented to the registration authority."
639,IDENTIFICATION AND AUTHENTICATION,IA-4 (4),IDENTIFY USER STATUS,,,The organization manages individual identifiers by uniquely identifying each individual as [Assignment: organization-defined characteristic identifying individual status].,"Characteristics identifying the status of individuals include, for example, contractors and foreign nationals. Identifying the status of individuals by specific characteristics provides additional information about the people with whom organizational personnel are communicating. For example, it might be useful for a government employee to know that one of the individuals on an email message is a contractor.",AT-2,CCI-000800 The organization defines characteristics for identifying individual status. CCI-000801 The organization manages individual identifiers by uniquely identifying each individual by organization-defined characteristics identifying individual status.
640,IDENTIFICATION AND AUTHENTICATION,IA-4 (5),DYNAMIC MANAGEMENT,,,The information system dynamically manages identifiers.,"In contrast to conventional approaches to identification which presume static accounts for preregistered users, many distributed information systems including, for example, service-oriented architectures, rely on establishing identifiers at run time for entities that were previously unknown. In these situations, organizations anticipate and provision for the dynamic establishment of identifiers. Preestablished trust relationships and mechanisms with appropriate authorities to validate identities and related credentials are essential.",AC-16,"CCI-000802 The information system dynamically manages identifiers, attributes, and associated access authorizations. CCI-001976 The information system dynamically manages identifiers."
641,IDENTIFICATION AND AUTHENTICATION,IA-4 (6),CROSS-ORGANIZATION MANAGEMENT,,,The organization coordinates with [Assignment: organization-defined external organizations] for cross-organization management of identifiers.,"Cross-organization identifier management provides the capability for organizations to appropriately identify individuals, groups, roles, or devices when conducting cross-organization activities involving the processing, storage, or transmission of information.",,CCI-001977 The organization defines the external organizations with which it will coordinate for cross-management of identifiers. CCI-001978 The organization coordinates with organization-defined external organizations for cross-organization management of identifiers.
642,IDENTIFICATION AND AUTHENTICATION,IA-4 (7),IN-PERSON REGISTRATION,,,The organization requires that the registration process to receive an individual identifier be conducted in person before a designated registration authority.,In-person registration reduces the likelihood of fraudulent identifiers being issued because it requires the physical presence of individuals and actual face-to-face interactions with designated registration authorities.,,CCI-001979 The organization requires the registration process to receive an individual identifier be conducted in person before a designated registration authority.
643,IDENTIFICATION AND AUTHENTICATION,IA-5,AUTHENTICATOR MANAGEMENT,P1,"LOW,MODERATE,HIGH",The organization manages information system authenticators by:,"Individual authenticators include, for example, passwords, tokens, biometrics, PKI certificates, and key cards. Initial authenticator content is the actual content (e.g., the initial password) as opposed to requirements about authenticator content (e.g., minimum password length). In many cases, developers ship information system components with factory default authentication credentials to allow for initial installation and configuration. Default authentication credentials are often well known, easily discoverable, and present a significant security risk. The requirement to protect individual authenticators may be implemented via control PL-4 or PS-6 for authenticators in the possession of individuals and by controls AC-3, AC-6, and SC-28 for authenticators stored within organizational information systems (e.g., passwords stored in hashed or encrypted formats, files containing encrypted or hashed passwords accessible with administrator privileges). Information systems support individual authenticator management by organization-defined settings and restrictions for various authenticator characteristics including, for example, minimum password length, password composition, validation time window for time synchronous one-time tokens, and number of allowed rejections during the verification stage of biometric authentication. Specific actions that can be taken to safeguard authenticators include, for example, maintaining possession of individual authenticators, not loaning or sharing individual authenticators with others, and reporting lost, stolen, or compromised authenticators immediately. Authenticator management includes issuing and revoking, when no longer needed, authenticators for temporary access such as that required for remote maintenance. Device authenticators include, for example, certificates and passwords.","AC-2,AC-3,AC-6,CM-6,IA-2,IA-4,IA-8,PL-4,PS-5,PS-6,SC-12,SC-13,SC-17,SC-28","CCI-001610 The organization defines the time period (by authenticator type) for changing/refreshing authenticators. CCI-000175 The organization manages information system authenticators for users and devices by verifying, as part of the initial authenticator distribution, the identity of the individual and/or device receiving the authenticator. CCI-000176 The organization manages information system authenticators by establishing initial authenticator content for authenticators defined by the organization. CCI-000177 The organization manages information system authenticators for users and devices by establishing and implementing administrative procedures for initial authenticator distribution, for lost/compromised, or damaged authenticators, and for revoking authenticators. CCI-000178 The organization manages information system authenticators for users and devices by changing default content of authenticators upon information system installation. CCI-000179 The organization manages information system authenticators by establishing minimum lifetime restrictions for authenticators. CCI-000180 The organization manages information system authenticators by establishing maximum lifetime restrictions for authenticators. CCI-000181 The organization manages information system authenticators by establishing reuse conditions for authenticators. CCI-000182 The organization manages information system authenticators by changing/refreshing authenticators in accordance with the organization-defined time period by authenticator type. CCI-000183 The organization manages information system authenticators by protecting authenticator content from unauthorized disclosure. CCI-000184 The organization manages information system authenticators by requiring individuals to take, and having devices implement, specific security safeguards to protect authenticators. CCI-001544 The organization manages information system authenticators by ensuring that authenticators have sufficient strength of mechanism for their intended use. CCI-001980 The organization manages information system authenticators by verifying, as part of the initial authenticator distribution, the identity of the individual, group, role, or device receiving the authenticator. CCI-001981 The organization manages information system authenticators by establishing administrative procedures for initial authenticator distribution. CCI-001982 The organization manages information system authenticators by establishing administrative procedures for lost/compromised authenticators. CCI-001983 The organization manages information system authenticators by establishing administrative procedures for damaged authenticators. CCI-001984 The organization manages information system authenticators by establishing administrative procedures for revoking authenticators. CCI-001985 The organization manages information system authenticators by implementing administrative procedures for initial authenticator distribution. CCI-001986 The organization manages information system authenticators by implementing administrative procedures for lost/compromised authenticators. CCI-001987 The organization manages information system authenticators by implementing administrative procedures for damaged authenticators. CCI-001988 The organization manages information system authenticators by implementing administrative procedures for revoking authenticators. CCI-001989 The organization manages information system authenticators by changing default content of authenticators prior to information system installation. CCI-001990 The organization manages information system authenticators by changing authenticators for group/role accounts when membership to those accounts changes. CCI-002042 The organization manages information system authenticators by protecting authenticator content from unauthorized modification. CCI-002365 The organization manages information system authenticators by requiring individuals to take specific security safeguards to protect authenticators. CCI-002366 The organization manages information system authenticators by having devices implement specific security safeguards to protect authenticators."
654,IDENTIFICATION AND AUTHENTICATION,IA-5 (1),PASSWORD-BASED AUTHENTICATION,,"LOW,MODERATE,HIGH","The information system, for password-based authentication:","This control enhancement applies to single-factor authentication of individuals using passwords as individual or group authenticators, and in a similar manner, when passwords are part of multifactor authenticators. This control enhancement does not apply when passwords are used to unlock hardware authenticators (e.g., Personal Identity Verification cards). The implementation of such password mechanisms may not meet all of the requirements in the enhancement. Cryptographically-protected passwords include, for example, encrypted versions of passwords and one-way cryptographic hashes of passwords. The number of changed characters refers to the number of changes required with respect to the total number of positions in the current password. Password lifetime restrictions do not apply to temporary passwords. To mitigate certain brute force attacks against passwords, organizations may also consider salting passwords.",IA-6,
661,IDENTIFICATION AND AUTHENTICATION,IA-5 (2),PKI-BASED AUTHENTICATION,,"MODERATE,HIGH","The information system, for PKI-based authentication:","Status information for certification paths includes, for example, certificate revocation lists or certificate status protocol responses. For PIV cards, validation of certifications involves the construction and verification of a certification path to the Common Policy Root trust anchor including certificate policy processing.",IA-6,"CCI-000185 The information system, for PKI-based authentication, validates certifications by constructing and verifying a certification path to an accepted trust anchor including checking certificate status information. CCI-000186 The information system, for PKI-based authentication, enforces authorized access to the corresponding private key. CCI-000187 The information system, for PKI-based authentication, maps the authenticated identity to the account of the individual or group."
666,IDENTIFICATION AND AUTHENTICATION,IA-5 (3),IN-PERSON OR TRUSTED THIRD-PARTY REGISTRATION,,"MODERATE,HIGH",The organization requires that the registration process to receive [Assignment: organization-defined types of and/or specific authenticators] be conducted [Selection: in person; by a trusted third party] before [Assignment: organization-defined registration authority] with authorization by [Assignment: organization-defined personnel or roles].,,,"CCI-001620 The organization defines the types of and/or specific authenticators for which the registration process must be carried out in person before a designated registration authority with authorization by a designated organizational official (e.g., a supervisor). CCI-000188 The organization requires that the registration process to receive an organizational-defined type of authenticator be carried out in person before a designated registration authority with authorization by a designated organizational official (e.g., a supervisor). CCI-001992 The organization defines the personnel or roles responsible for authorizing the organization's registration authority accountable for the authenticator registration process. CCI-001993 The organization defines the registration authority accountable for the authenticator registration process. CCI-001994 The organization defines the types of and/or specific authenticators that are subject to the authenticator registration process. CCI-001995 The organization requires that the registration process, to receive organization-defined types of and/or specific authenticators, be conducted in person, or by a trusted third-party, before an organization-defined registration authority with authorization by organization-defined personnel or roles."
667,IDENTIFICATION AND AUTHENTICATION,IA-5 (4),AUTOMATED SUPPORT  FOR PASSWORD STRENGTH DETERMINATION,,,The organization employs automated tools to determine if password authenticators are sufficiently strong to satisfy [Assignment: organization-defined requirements].,"This control enhancement focuses on the creation of strong passwords and the characteristics of such passwords (e.g., complexity) prior to use, the enforcement of which is carried out by organizational information systems in IA-5 (1).","CA-2,CA-7,RA-5",CCI-000189 The organization employs automated tools to determine if authenticators are sufficiently strong to resist attacks intended to discover or otherwise compromise the authenticators. CCI-001996 The organization defines the requirements required by the automated tools to determine if password authenticators are sufficiently strong. CCI-001997 The organization employs automated tools to determine if password authenticators are sufficiently strong to satisfy organization-defined requirements.
668,IDENTIFICATION AND AUTHENTICATION,IA-5 (5),CHANGE AUTHENTICATORS PRIOR TO DELIVERY,,,The organization requires developers/installers of information system components to provide unique authenticators or change default authenticators prior to delivery/installation.,"This control enhancement extends the requirement for organizations to change default authenticators upon information system installation, by requiring developers and/or installers to provide unique authenticators or change default authenticators for system components prior to delivery and/or installation. However, it typically does not apply to the developers of commercial off-the-shelve information technology products. Requirements for unique authenticators can be included in acquisition documents prepared by organizations when procuring information systems or system components.",,CCI-000190 The organization requires vendors/manufacturers of information system components to provide unique authenticators or change default authenticators prior to delivery. CCI-001998 The organization requires developers/installers of information system components to provide unique authenticators or change default authenticators prior to delivery/installation.
669,IDENTIFICATION AND AUTHENTICATION,IA-5 (6),PROTECTION OF AUTHENTICATORS,,,The organization protects authenticators commensurate with the security category of the information to which use of the authenticator permits access.,"For information systems containing multiple security categories of information without reliable physical or logical separation between categories, authenticators used to grant access to the systems are protected commensurate with the highest security category of information on the systems.",,CCI-000201 The organization protects authenticators commensurate with the security category of the information to which use of the authenticator permits access.
670,IDENTIFICATION AND AUTHENTICATION,IA-5 (7),NO EMBEDDED UNENCRYPTED STATIC AUTHENTICATORS,,,The organization ensures that unencrypted static authenticators are not embedded in applications or access scripts or stored on function keys.,"Organizations exercise caution in determining whether embedded or stored authenticators are in encrypted or unencrypted form. If authenticators are used in the manner stored, then those representations are considered unencrypted authenticators. This is irrespective of whether that representation is perhaps an encrypted version of something else (e.g., a password).",,CCI-000202 The organization ensures unencrypted static authenticators are not embedded in access scripts. CCI-000203 The organization ensures unencrypted static authenticators are not stored on function keys. CCI-002367 The organization ensures unencrypted static authenticators are not embedded in applications.
671,IDENTIFICATION AND AUTHENTICATION,IA-5 (8),MULTIPLE INFORMATION SYSTEM ACCOUNTS,,,The organization implements [Assignment: organization-defined security safeguards] to manage the risk of compromise due to individuals having accounts on multiple information systems.,"When individuals have accounts on multiple information systems, there is the risk that the compromise of one account may lead to the compromise of other accounts if individuals use the same authenticators. Possible alternatives include, for example: (i) having different authenticators on all systems; (ii) employing some form of single sign-on mechanism; or (iii) including some form of one-time passwords on all systems.",,CCI-001621 The organization implements organization-defined security safeguards to manage the risk of compromise due to individuals having accounts on multiple information systems. CCI-000204 The organization defines the security safeguards required to manage the risk of compromise due to individuals having accounts on multiple information systems.
672,IDENTIFICATION AND AUTHENTICATION,IA-5 (9),CROSS-ORGANIZATION CREDENTIAL MANAGEMENT,,,The organization coordinates with [Assignment: organization-defined external organizations] for cross-organization management of credentials.,"Cross-organization management of credentials provides the capability for organizations to appropriately authenticate individuals, groups, roles, or devices when conducting cross-organization activities involving the processing, storage, or transmission of information.",,CCI-001999 The organization defines the external organizations to be coordinated with for cross-organization management of credentials. CCI-002000 The organization coordinates with organization-defined external organizations for cross-organization management of credentials.
673,IDENTIFICATION AND AUTHENTICATION,IA-5 (10),DYNAMIC CREDENTIAL ASSOCIATION,,,The information system dynamically provisions identities.,"Authentication requires some form of binding between an identity and the authenticator used to confirm the identity. In conventional approaches, this binding is established by pre-provisioning both the identity and the authenticator to the information system. For example, the binding between a username (i.e., identity) and a password (i.e., authenticator) is accomplished by provisioning the identity and authenticator as a pair in the information system. New authentication techniques allow the binding between the identity and the authenticator to be implemented outside an information system. For example, with smartcard credentials, the identity and the authenticator are bound together on the card. Using these credentials, information systems can authenticate identities that have not been pre-provisioned, dynamically provisioning the identity after authentication. In these situations, organizations can anticipate the dynamic provisioning of identities. Preestablished trust relationships and mechanisms with appropriate authorities to validate identities and related credentials are essential.",,CCI-002001 The information system dynamically provisions identities.
674,IDENTIFICATION AND AUTHENTICATION,IA-5 (11),HARDWARE TOKEN-BASED AUTHENTICATION,,"LOW,MODERATE,HIGH","The information system, for hardware token-based authentication, employs mechanisms that satisfy [Assignment: organization-defined token quality requirements].","Hardware token-based authentication typically refers to the use of PKI-based tokens, such as the U.S. Government Personal Identity Verification (PIV) card. Organizations define specific requirements for tokens, such as working with a particular PKI.",,"CCI-002002 The organization defines the token quality requirements to be employed by the information system mechanisms for token-based authentication. CCI-002003 The information system, for token-based authentication, employs mechanisms that satisfy organization-defined token quality requirements."
675,IDENTIFICATION AND AUTHENTICATION,IA-5 (12),BIOMETRIC-BASED AUTHENTICATION,,,"The information system, for biometric-based authentication, employs mechanisms that satisfy [Assignment: organization-defined biometric quality requirements].","Unlike password-based authentication which provides exact matches of user-input passwords to stored passwords, biometric authentication does not provide such exact matches. Depending upon the type of biometric and the type of collection mechanism, there is likely to be some divergence from the presented biometric and stored biometric which serves as the basis of comparison. There will likely be both false positives and false negatives when making such comparisons. The rate at which the false accept and false reject rates are equal is known as the crossover rate. Biometric quality requirements include, for example, acceptable crossover rates, as that essentially reflects the accuracy of the biometric.",,"CCI-002004 The organization defines the biometric quality requirements to be employed by the information system mechanisms for biometric-based authentication. CCI-002005 The information system, for biometric-based authentication, employs mechanisms that satisfy organization-defined biometric quality requirements."
676,IDENTIFICATION AND AUTHENTICATION,IA-5 (13),EXPIRATION OF CACHED AUTHENTICATORS,,,The information system prohibits the use of cached authenticators after [Assignment: organization-defined time period].,,,CCI-002006 The organization defines the time period after which the use of cached authenticators is prohibited. CCI-002007 The information system prohibits the use of cached authenticators after an organization-defined time period.
677,IDENTIFICATION AND AUTHENTICATION,IA-5 (14),MANAGING CONTENT OF PKI TRUST STORES,,,"The organization, for PKI-based authentication, employs a deliberate organization-wide methodology for managing the content of PKI trust stores installed across all platforms including networks, operating systems, browsers, and applications.",,,"CCI-002008 The organization, for PKI-based authentication, employs a deliberate organization-wide methodology for managing the content of PKI trust stores installed across all platforms including networks, operating systems, browsers, and applications."
678,IDENTIFICATION AND AUTHENTICATION,IA-5 (15),FICAM-APPROVED PRODUCTS AND SERVICES,,,The organization uses only FICAM-approved path discovery and validation products and services.,"Federal Identity, Credential, and Access Management (FICAM)-approved path discovery and validation products and services are those products and services that have been approved through the FICAM conformance program, where applicable.",,CCI-002043 The organization uses only FICAM-approved path discovery and validation products and services.
679,IDENTIFICATION AND AUTHENTICATION,IA-6,AUTHENTICATOR FEEDBACK,P2,"LOW,MODERATE,HIGH",The information system obscures feedback of authentication information during the authentication process to protect the information from possible exploitation/use by unauthorized individuals.,"The feedback from information systems does not provide information that would allow unauthorized individuals to compromise authentication mechanisms. For some types of information systems or system components, for example, desktops/notebooks with relatively large monitors, the threat (often referred to as shoulder surfing) may be significant. For other types of systems or components, for example, mobile devices with 2-4 inch screens, this threat may be less significant, and may need to be balanced against the increased likelihood of typographic input errors due to the small keyboards. Therefore, the means for obscuring the authenticator feedback is selected accordingly. Obscuring the feedback of authentication information includes, for example, displaying asterisks when users type passwords into input devices, or displaying feedback for a very limited time before fully obscuring it.",PE-18,CCI-000206 The information system obscures feedback of authentication information during the authentication process to protect the information from possible exploitation/use by unauthorized individuals.
680,IDENTIFICATION AND AUTHENTICATION,IA-7,CRYPTOGRAPHIC MODULE AUTHENTICATION,P1,"LOW,MODERATE,HIGH","The information system implements mechanisms for authentication to a cryptographic module that meet the requirements of applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance for such authentication.",Authentication mechanisms may be required within a cryptographic module to authenticate an operator accessing the module and to verify that the operator is authorized to assume the requested role and perform services within that role.,"SC-12,SC-13","CCI-000803 The information system implements mechanisms for authentication to a cryptographic module that meet the requirements of applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance for such authentication."
681,IDENTIFICATION AND AUTHENTICATION,IA-8,IDENTIFICATION AND AUTHENTICATION (NON-ORGANIZATIONAL USERS),P1,"LOW,MODERATE,HIGH",The information system uniquely identifies and authenticates non-organizational users (or processes acting on behalf of non-organizational users).,"Non-organizational users include information system users other than organizational users explicitly covered by IA-2. These individuals are uniquely identified and authenticated for accesses other than those accesses explicitly identified and documented in AC-14. In accordance with the E-Authentication E-Government initiative, authentication of non-organizational users accessing federal information systems may be required to protect federal, proprietary, or privacy-related information (with exceptions noted for national security systems). Organizations use risk assessments to determine authentication needs and consider scalability, practicality, and security in balancing the need to ensure ease of use for access to federal information and information systems with the need to protect and adequately mitigate risk. IA-2 addresses identification and authentication requirements for access to information systems by organizational users.","AC-2,AC-14,AC-17,AC-18,IA-2,IA-4,IA-5,MA-4,RA-3,SA-12,SC-8",CCI-000804 The information system uniquely identifies and authenticates non-organizational users (or processes acting on behalf of non-organizational users).
682,IDENTIFICATION AND AUTHENTICATION,IA-8 (1),ACCEPTANCE OF PIV CREDENTIALS FROM OTHER AGENCIES,,"LOW,MODERATE,HIGH",The information system accepts and electronically verifies Personal Identity Verification (PIV) credentials from other federal agencies.,This control enhancement applies to logical access control systems (LACS) and physical access control systems (PACS). Personal Identity Verification (PIV) credentials are those credentials issued by federal agencies that conform to FIPS Publication 201 and supporting guidance documents. OMB Memorandum 11-11 requires federal agencies to continue implementing the requirements specified in HSPD-12 to enable agency-wide use of PIV credentials.,"AU-2,PE-3,SA-4",CCI-002009 The information system accepts Personal Identity Verification (PIV) credentials from other federal agencies. CCI-002010 The information system electronically verifies Personal Identity Verification (PIV) credentials from other federal agencies.
683,IDENTIFICATION AND AUTHENTICATION,IA-8 (2),ACCEPTANCE OF THIRD-PARTY CREDENTIALS,,"LOW,MODERATE,HIGH",The information system accepts only FICAM-approved third-party credentials.,"This control enhancement typically applies to organizational information systems that are accessible to the general public, for example, public-facing websites. Third-party credentials are those credentials issued by nonfederal government entities approved by the Federal Identity, Credential, and Access Management (FICAM) Trust Framework Solutions initiative. Approved third-party credentials meet or exceed the set of minimum federal government-wide technical, security, privacy, and organizational maturity requirements. This allows federal government relying parties to trust such credentials at their approved assurance levels.",AU-2,CCI-002011 The information system accepts FICAM-approved third-party credentials.
684,IDENTIFICATION AND AUTHENTICATION,IA-8 (3),USE OF FICAM-APPROVED PRODUCTS,,"LOW,MODERATE,HIGH",The organization employs only FICAM-approved information system components in [Assignment: organization-defined information systems] to accept third-party credentials.,"This control enhancement typically applies to information systems that are accessible to the general public, for example, public-facing websites. FICAM-approved information system components include, for example, information technology products and software libraries that have been approved by the Federal Identity, Credential, and Access Management conformance program.",SA-4,CCI-002012 The organization defines the information systems which will employ only FICAM-approved information system components. CCI-002013 The organization employs only FICAM-approved information system components in organization-defined information systems to accept third-party credentials.
685,IDENTIFICATION AND AUTHENTICATION,IA-8 (4),USE OF FICAM-ISSUED PROFILES,,"LOW,MODERATE,HIGH",The information system conforms to FICAM-issued profiles.,"This control enhancement addresses open identity management standards. To ensure that these standards are viable, robust, reliable, sustainable (e.g., available in commercial information technology products), and interoperable as documented, the United States Government assesses and scopes identity management standards and technology implementations against applicable federal legislation, directives, policies, and requirements.  The result is FICAM-issued implementation profiles of approved protocols (e.g., FICAM authentication protocols such as SAML 2.0 and OpenID 2.0, as well as other protocols such as the FICAM Backend Attribute Exchange).",SA-4,CCI-002014 The information system conforms to FICAM-issued profiles.
686,IDENTIFICATION AND AUTHENTICATION,IA-8 (5),ACCEPTANCE OF PIV-I CREDENTIALS,,,The information system accepts and electronically verifies Personal Identity Verification-I (PIV-I) credentials.,"This control enhancement: (i) applies to logical and physical access control systems; and (ii) addresses Non-Federal Issuers (NFIs) of identity cards that desire to interoperate with United States Government Personal Identity Verification (PIV) information systems and that can be trusted by federal government-relying parties. The X.509 certificate policy for the Federal Bridge Certification Authority (FBCA) addresses PIV-I requirements. The PIV-I card is suitable for Assurance Level 4 as defined in OMB Memorandum 04-04 and NIST Special Publication 800-63, and multifactor authentication as defined in NIST Special Publication 800-116. PIV-I credentials are those credentials issued by a PIV-I provider whose PIV-I certificate policy maps to the Federal Bridge PIV-I Certificate Policy. A PIV-I provider is cross-certified (directly or through another PKI bridge) with the FBCA with policies that have been mapped and approved as meeting the requirements of the PIV-I policies defined in the FBCA certificate policy.",AU-2,CCI-002015 The information system accepts Personal Identity Verification-I (PIV-I) credentials. CCI-002016 The information system electronically verifies Personal Identity Verification-I (PIV-I) credentials.
687,IDENTIFICATION AND AUTHENTICATION,IA-9,SERVICE IDENTIFICATION AND AUTHENTICATION,P0,,The organization identifies and authenticates [Assignment: organization-defined information system services] using [Assignment: organization-defined security safeguards].,"This control supports service-oriented architectures and other distributed architectural approaches requiring the identification and authentication of information system services. In such architectures, external services often appear dynamically. Therefore, information systems should be able to determine in a dynamic manner, if external providers and associated services are authentic. Safeguards implemented by organizational information systems to validate provider and service authenticity include, for example, information or code signing, provenance graphs, and/or electronic signatures indicating or including the sources of services.",,CCI-002017 The organization defines the information system services requiring identification. CCI-002018 The organization defines the information system services requiring authentication. CCI-002019 The organization defines the security safeguards to be used when identifying information system services. CCI-002020 The organization defines the security safeguards to be used when authenticating information system services. CCI-002021 The organization identifies organization-defined information system services using organization-defined security safeguards. CCI-002022 The organization authenticates organization-defined information system services using organization-defined security safeguards.
688,IDENTIFICATION AND AUTHENTICATION,IA-9 (1),INFORMATION EXCHANGE,,,"The organization ensures that service providers receive, validate, and transmit identification and authentication information.",,,CCI-002023 The organization ensures that service providers receive identification information. CCI-002024 The organization ensures that service providers validate identification information. CCI-002025 The organization ensures that service providers transmit identification information. CCI-002026 The organization ensures that service providers receive authentication information. CCI-002027 The organization ensures that service providers validate authentication information. CCI-002028 The organization ensures that service providers transmit authentication information.
689,IDENTIFICATION AND AUTHENTICATION,IA-9 (2),TRANSMISSION OF DECISIONS,,,The organization ensures that identification and authentication decisions are transmitted between [Assignment: organization-defined services] consistent with organizational policies.,"For distributed architectures (e.g., service-oriented architectures), the decisions regarding the validation of identification and authentication claims may be made by services separate from the services acting on those decisions. In such situations, it is necessary to provide the identification and authentication decisions (as opposed to the actual identifiers and authenticators) to the services that need to act on those decisions.",SC-8,CCI-002029 The organization defines the services between which identification decisions are to be transmitted. CCI-002030 The organization defines the services between which authentication decisions are to be transmitted. CCI-002031 The organization ensures that identification decisions are transmitted between organization-defined services consistent with organizational policies. CCI-002032 The organization ensures that authentication decisions are transmitted between organization-defined services consistent with organizational policies.
690,IDENTIFICATION AND AUTHENTICATION,IA-10,ADAPTIVE IDENTIFICATION AND AUTHENTICATION,P0,,The organization requires that individuals accessing the information system employ [Assignment: organization-defined supplemental authentication techniques or mechanisms] under specific [Assignment: organization-defined circumstances or situations].,"Adversaries may compromise individual authentication mechanisms and subsequently attempt to impersonate legitimate users. This situation can potentially occur with any authentication mechanisms employed by organizations. To address this threat, organizations may employ specific techniques/mechanisms and establish protocols to assess suspicious behavior (e.g., individuals accessing information that they do not typically access as part of their normal duties, roles, or responsibilities, accessing greater quantities of information than the individuals would routinely access, or attempting to access information from suspicious network addresses). In these situations when certain preestablished conditions or triggers occur, organizations can require selected individuals to provide additional authentication information. Another potential use for adaptive identification and authentication is to increase the strength of mechanism based on the number and/or types of records being accessed.","AU-6,SI-4",CCI-002033 The organization defines the specific circumstances or situations when individuals accessing an information system employ organization-defined supplemental authentication techniques or mechanisms. CCI-002034 The organization defines the supplemental authentication techniques or mechanisms to be employed in specific organization-defined circumstances or situations by individuals accessing the information system. CCI-002035 The organization requires that individuals accessing the information system employ organization-defined supplemental authentication techniques or mechanisms under specific organization-defined circumstances or situations.
